loss,mae,val_loss,val_mae
0.04977311193943024,0.17872533202171326,0.04309994354844093,0.16913528740406036
0.030211281031370163,0.13674257695674896,0.02072194218635559,0.10212739557027817
0.015889469534158707,0.08955249935388565,0.013686247169971466,0.08469031006097794
0.01159767247736454,0.07415608316659927,0.010848299600183964,0.07001697272062302
0.00872758962213993,0.06199388578534126,0.006226520985364914,0.052947405725717545
0.004628688562661409,0.04680190235376358,0.003625906305387616,0.041820842772722244
0.0034633707255125046,0.04082031548023224,0.0032877738121896982,0.03979182615876198
0.0032155283261090517,0.039167001843452454,0.0030465805903077126,0.0384453646838665
0.003031729254871607,0.03795309737324715,0.00294598750770092,0.03762487694621086
0.0029929468873888254,0.03779708221554756,0.0028931740671396255,0.037522051483392715
0.002870392519980669,0.03688749298453331,0.0027973901014775038,0.036681532859802246
0.0028860257007181644,0.037178441882133484,0.0027440942358225584,0.0363689661026001
0.0028254210483282804,0.03675039857625961,0.0027204006910324097,0.036301758140325546
0.0027439577970653772,0.036154333502054214,0.002689143642783165,0.0360395647585392
0.0027601164765655994,0.03638896346092224,0.002647975692525506,0.0358097143471241
0.0027013816870748997,0.03596070036292076,0.002619134495034814,0.03563741594552994
0.0026558495592325926,0.035653937608003616,0.0026085618883371353,0.03556647151708603
0.0026875834446400404,0.03604768589138985,0.002603708067908883,0.035568967461586
0.0026698214933276176,0.035951126366853714,0.0025856446009129286,0.03559817373752594
0.002565982984378934,0.03510097414255142,0.0025219537783414125,0.035001810640096664
0.002570565091446042,0.03522086143493652,0.0025605654809623957,0.03540179505944252
0.00260736932978034,0.03564814478158951,0.0025122480001300573,0.03500610217452049
0.002586083021014929,0.035501137375831604,0.0025109003763645887,0.03517432510852814
0.002493375912308693,0.03473261743783951,0.0024512598756700754,0.034608736634254456
0.0024958907160907984,0.03482159599661827,0.002503723604604602,0.035124246031045914
0.0025278872344642878,0.035183798521757126,0.0025411052629351616,0.03550760820508003
0.002539109205827117,0.03532468155026436,0.0024085252080112696,0.03436091169714928
0.0024922657757997513,0.034935541450977325,0.002429588930681348,0.03465166687965393
0.0024259204510599375,0.034389346837997437,0.002406779443845153,0.03441758081316948
0.002442752942442894,0.03458442538976669,0.002467262325808406,0.035006772726774216
0.002470281207934022,0.034884966909885406,0.002487149089574814,0.03521184250712395
0.0024850526824593544,0.035043392330408096,0.002366089029237628,0.034139081835746765
0.002453205408528447,0.034772202372550964,0.002397895557805896,0.03452974185347557
0.0023839054629206657,0.0341833159327507,0.0023572861682623625,0.03412232920527458
0.002391858957707882,0.03428604453802109,0.002396396594122052,0.03450050577521324
0.002418629126623273,0.03456698730587959,0.0024439964909106493,0.03495548292994499
0.002439986215904355,0.034785736352205276,0.0023614035453647375,0.03421002998948097
0.0024296846240758896,0.03469538688659668,0.002366004278883338,0.03435197100043297
0.002365516033023596,0.03414049372076988,0.0023250889498740435,0.03395337238907814
0.0023489391896873713,0.03401891142129898,0.0023378317710012197,0.03406638279557228
0.002373910741880536,0.03427339717745781,0.0023983719293028116,0.03464039787650108
0.002396790310740471,0.03450697287917137,0.0023855126928538084,0.0345340333878994
0.0024100046139210463,0.034633953124284744,0.00230448879301548,0.033825043588876724
0.0023806612007319927,0.03437891602516174,0.0023338657338172197,0.034157875925302505
0.0023196812253445387,0.033854156732559204,0.0022968649864196777,0.033784348517656326
0.002327077556401491,0.03394455090165138,0.0023319951724261045,0.034123294055461884
0.0023564815055578947,0.03425014019012451,0.002390396548435092,0.034695178270339966
0.0023777938913553953,0.03447193279862404,0.0023220062721520662,0.03407567739486694
0.0023783778306096792,0.03448096662759781,0.0023154376540333033,0.03409711644053459
0.0023202865850180387,0.033974599093198776,0.0022817247081547976,0.033774904906749725
