model,accuracy,f1_score
Random Forest Classifier,0.849531705819131,0.6888888888888889
SVM Classifier,0.7939505604176262,0.6650024962556166
KNN Classifier,0.7776754183939812,0.6279547790339157
Logistic Regression,0.7759864885613389,0.6213340254347262
Decision Tree Classifier,0.8094580070627975,0.6000644537544312
Naive Bayes Classifier,0.8174420389989252,0.5677935296255907
