accuracy,loss,val_accuracy,val_loss,learning_rate
0.5520833134651184,0.6930064558982849,0.5,0.7239407896995544,0.0010000000474974513
0.484375,0.7341141104698181,0.5,0.698530912399292,0.0010000000474974513
0.515625,0.697106122970581,0.5,0.7012743949890137,0.0010000000474974513
0.4947916567325592,0.703389585018158,0.4166666567325592,0.6932117938995361,0.0010000000474974513
0.4895833432674408,0.7081910967826843,0.5,0.6931785941123962,0.0010000000474974513
0.4635416567325592,0.7044832110404968,0.5,0.6933556199073792,0.0010000000474974513
0.4739583432674408,0.7081620097160339,0.5208333134651184,0.6931599974632263,0.0005000000237487257
0.5052083134651184,0.6976767182350159,0.5208333134651184,0.6931142807006836,0.0005000000237487257
0.5208333134651184,0.6986701488494873,0.5,0.693287193775177,0.0002500000118743628
0.4739583432674408,0.705833911895752,0.5,0.6934008598327637,0.0002500000118743628
0.4895833432674408,0.698991060256958,0.5,0.6931283473968506,0.0001250000059371814
0.5520833134651184,0.6914260983467102,0.5,0.6931071281433105,0.0001250000059371814
0.4791666567325592,0.6968203186988831,0.5,0.693126380443573,0.0001250000059371814
0.4583333432674408,0.711362898349762,0.5,0.6930977702140808,0.0001250000059371814
0.5260416865348816,0.6993443369865417,0.5,0.6931033730506897,6.25000029685907e-05
0.4635416567325592,0.6983482241630554,0.5625,0.6930821537971497,6.25000029685907e-05
0.4739583432674408,0.7055647373199463,0.5,0.693103015422821,3.125000148429535e-05
0.4947916567325592,0.7019007802009583,0.5,0.6930853724479675,3.125000148429535e-05
0.46875,0.707556962966919,0.5,0.6930825114250183,1.5625000742147677e-05
0.5208333134651184,0.6956964135169983,0.4166666567325592,0.6930791735649109,1.5625000742147677e-05
0.5052083134651184,0.7045269012451172,0.5,0.6930853724479675,7.812500371073838e-06
0.46875,0.7040345072746277,0.5,0.6930902600288391,7.812500371073838e-06
0.515625,0.7033970952033997,0.5,0.6930892467498779,3.906250185536919e-06
0.4895833432674408,0.7019186615943909,0.5,0.6930903792381287,3.906250185536919e-06
