accuracy,loss,val_accuracy,val_loss,learning_rate
0.3402777910232544,1.253515362739563,0.3611111044883728,1.0847315788269043,0.0010000000474974513
0.2708333432674408,1.2259482145309448,0.5138888955116272,1.0655617713928223,0.0010000000474974513
0.2951388955116272,1.1620763540267944,0.5138888955116272,1.0506227016448975,0.0010000000474974513
0.4270833432674408,1.08194100856781,0.5972222089767456,1.0427976846694946,0.0010000000474974513
0.4201388955116272,1.0587937831878662,0.5416666865348816,1.0368335247039795,0.0010000000474974513
0.4340277910232544,1.045624017715454,0.5972222089767456,1.0331412553787231,0.0010000000474974513
0.4305555522441864,1.0522524118423462,0.5277777910232544,1.0164800882339478,0.0010000000474974513
0.5,1.0359026193618774,0.5416666865348816,1.0234920978546143,0.0010000000474974513
0.4131944477558136,1.040472149848938,0.5694444179534912,1.0114766359329224,0.0010000000474974513
0.4305555522441864,1.038360357284546,0.5833333134651184,0.9971479773521423,0.0010000000474974513
0.4791666567325592,1.0105500221252441,0.5555555820465088,0.9981281757354736,0.0010000000474974513
0.5208333134651184,1.0091063976287842,0.5555555820465088,0.9965783357620239,0.0010000000474974513
0.5173611044883728,0.9872832894325256,0.5833333134651184,0.9941945672035217,0.0010000000474974513
0.4895833432674408,0.9919963479042053,0.5416666865348816,0.9841766357421875,0.0010000000474974513
0.4409722089767456,0.9801782965660095,0.5694444179534912,0.9644660949707031,0.0010000000474974513
0.5034722089767456,0.9291613101959229,0.6527777910232544,0.8977200984954834,9.999999747378752e-06
0.5208333134651184,0.9098243713378906,0.6388888955116272,0.8596024513244629,9.999999747378752e-06
0.5416666865348816,0.8561455607414246,0.625,0.8294107913970947,9.999999747378752e-06
0.5520833134651184,0.8507919907569885,0.5833333134651184,0.8107722401618958,9.999999747378752e-06
0.6076388955116272,0.8063116073608398,0.6805555820465088,0.7424222826957703,9.999999747378752e-06
0.5833333134651184,0.807844340801239,0.6944444179534912,0.7679522037506104,9.999999747378752e-06
0.6006944179534912,0.8288121819496155,0.6666666865348816,0.7843406796455383,9.999999747378752e-06
0.5590277910232544,0.7963545322418213,0.6805555820465088,0.7826941013336182,4.999999873689376e-06
0.6076388955116272,0.7825289964675903,0.5972222089767456,0.7519314289093018,4.999999873689376e-06
