accuracy,loss,val_accuracy,val_loss
0.6931250095367432,0.5864850878715515,0.7981250286102295,0.4413526654243469
0.7975000143051147,0.44354143738746643,0.8106250166893005,0.41108307242393494
0.8126562237739563,0.4218313694000244,0.8243749737739563,0.396646112203598
0.8226562738418579,0.4068912863731384,0.828125,0.3850068747997284
0.8306249976158142,0.39377182722091675,0.8381249904632568,0.37424182891845703
0.8371875286102295,0.3824387490749359,0.8431249856948853,0.3642311990261078
0.8432812690734863,0.3721693754196167,0.8487499952316284,0.35517287254333496
0.8495312333106995,0.36310797929763794,0.8525000214576721,0.3477301299571991
0.8525000214576721,0.35614028573036194,0.8575000166893005,0.3428410589694977
0.8543750047683716,0.3515683114528656,0.8581249713897705,0.339971661567688
