fold,model,rmse,parameters
1,KNNBasic,0.9474217518634304,"{""k"": 20, ""sim_options"": {""name"": ""msd"", ""user_based"": true}}"
2,KNNBasic,0.9357266583627295,"{""k"": 20, ""sim_options"": {""name"": ""msd"", ""user_based"": true}}"
3,KNNBasic,0.9322645081391902,"{""k"": 20, ""sim_options"": {""name"": ""msd"", ""user_based"": true}}"
4,KNNBasic,0.9366702307782668,"{""k"": 20, ""sim_options"": {""name"": ""msd"", ""user_based"": true}}"
5,KNNBasic,0.9517475754888307,"{""k"": 20, ""sim_options"": {""name"": ""msd"", ""user_based"": true}}"
1,SVD,0.8831049180857837,"{""random_state"": 42}"
2,SVD,0.8674185165208834,"{""random_state"": 42}"
3,SVD,0.8630491446321759,"{""random_state"": 42}"
4,SVD,0.8715511002380817,"{""random_state"": 42}"
5,SVD,0.8807680304037426,"{""random_state"": 42}"
1,NMF,0.9262499756093207,"{""random_state"": 42}"
2,NMF,0.9164369869938968,"{""random_state"": 42}"
3,NMF,0.915984361104201,"{""random_state"": 42}"
4,NMF,0.919449024087297,"{""random_state"": 42}"
5,NMF,0.9287676762419266,"{""random_state"": 42}"
