model,rmse,mae,r2
Lasso Regression,430.29681892846634,319.64352934565517,0.5519971647497581
Ridge Regression,430.78827825169327,320.33671540137607,0.5509732161822174
Linear Regression,430.80327132329893,320.3593174193256,0.5509419599562837
